ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
326,Antico Testamento,I Carri di Fuoco Invisibili a Dotan,2 Re 6,20:00,"Ecco a voi in 2 minuti: gli occhi aperti per vedere la difesa invisibile. Il re di Siria invia cavalli, carri e un forte esercito che circonda di notte la città di Dotan dove si trova Eliseo. Al mattino il servo del profeta esce, vede l'accerchiamento e grida atterrito: «Ahimè, signore mio, come faremo?» Ma Eliseo risponde con calma: «Non temere, perché quelli che sono con noi sono più numerosi di quelli che sono con loro!» Prega il Signore di aprirgli gli occhi: il monte è pieno di cavalli e carri di fuoco a loro difesa.",Pronto
327,Antico Testamento,La Fame a Samaria e i Quattro Lebbrosi alle Porte,2 Re 7,20:00,"Ecco a voi in 2 minuti: la lieta novella portata dagli ultimi della terra. Durante un durissimo assedio a Samaria, quattro lebbrosi esclusi alle porte della città decidono di andare all'accampamento siriano: «Se ci lasciano vivere vivremo, se ci uccidono moriremo!» Giunti all'imbrunire, scoprono che il Signore ha fatto udire al nemico fragore di carri, facendolo fuggire e abbandonare tende, cibo e ricchezze. I quattro lebbrosi dicono: «Oggi è giorno di lieta notizia, andiamo ad annunciarlo alla città!» La liberazione giunge inattesa.",Pronto
328,Antico Testamento,Il Re Giosia Ritrova il Libro della Legge nel Tempio,2 Re 22,20:00,"Ecco a voi in 2 minuti: la riscoperta della Parola che rinnova una nazione. Durante i restauri del tempio ordinati dal giovane re Giosia, il sommo sacerdote Chelkia trova l'antico rotolo del Libro della Legge. Quando il segretario lo legge alla presenza del re, Giosia si lacera le vesti per il rimorso nel constatare quanto il popolo si fosse allontanato dai precetti divini. Raduna tutta la popolazione, dal più piccolo al più grande, legge loro la Parola e rinnova solennemente l'alleanza. La verità ritrovata genera rinascita.",Pronto
329,Antico Testamento,La Preghiera di Ezechia e la Lettera Stesa nel Tempio,2 Re 19,20:00,"Ecco a voi in 2 minuti: la supplica del re assediato davanti all'altare. L'esercito imperiale assiro circonda Gerusalemme e invia lettere minacciose piene di scherno contro il Dio d'Israele. Il re Ezechia riceve la lettera, sale al tempio del Signore e la stende aperta davanti all'altare, pregando con fede ardente: «Signore Dio d'Israele, tu solo sei Dio; porgi l'orecchio e ascolta, salva noi per far sapere a tutti i regni che tu solo sei l'Eterno!» Quella notte stessa la minaccia si dissolve e la città è liberata. L'abbandono fiducioso salva la speranza.",Pronto
330,Antico Testamento,L'Ombra della Meridiana che Torna Indietro,2 Re 20,20:00,"Ecco a voi in 2 minuti: la guarigione donata e il segno nel tempo. Ezechia si ammala a morte; volge la faccia verso la parete e prega piangendo con sincerità d'animo. Prima ancora che il profeta Isaia esca dal cortile centrale, l'Eterno gli ordina di tornare ad annunciare al re: «Ho udito la tua preghiera, ho visto le tue lacrime: ecco, io ti guarisco e aggiungo quindici anni alla tua vita!» Come segno della promessa, l'ombra sui gradini della meridiana arretra di dieci gradi. La preghiera sincera commuove il cuore di Dio.",Pronto
331,Antico Testamento,La Visione dei Cherubini sul Fiume Chebar,Ezechiele 1,20:00,"Ecco a voi in 2 minuti: la maestà radiosa che accompagna l'esilio. Mentre si trova tra i deportati lungo le rive del fiume Chebar a Babilonia, i cieli si aprono al profeta Ezechiele in visioni divine. Vede un vento di tempesta, una grande nube e un fuoco sfolgorante, con quattro esseri viventi alati e ruote piene di occhi che si muovono all'unisono ovunque vada lo Spirito. Sopra il firmamento scorge un trono di zaffiro con una figura radiosa simile a gloria regale. La presenza di Dio non resta chiusa nei confini, ma visita i suoi fedeli nell'esilio.",Pronto
332,Antico Testamento,Il Rotolo Divorato Dolce nella Bocca di Ezechiele,Ezechiele 3,20:00,"Ecco a voi in 2 minuti: la Parola assimilata prima dell'annuncio. Una mano celeste si stende verso il profeta Ezechiele recando un rotolo scritto dentro e fuori di lamenti, pianti e guai. Una voce gli comanda: «Figlio dell'uomo, mangia questo rotolo, poi va' e parla alla casa d'Israele!» Ezechiele apre la bocca, inghiotte il rotolo e nella sua bocca esso diventa dolce come il miele. Solo chi custodisce profondamente il messaggio divino nella propria anima può farsi annunciatore autentico e credibile di speranza per gli altri.",Pronto
333,Antico Testamento,La Sentinella Posta a Custodia del Popolo,Ezechiele 33,20:00,"Ecco a voi in 2 minuti: la responsabilità dell'avvertimento fraterno. L'Eterno stabilisce il profeta come sentinella sulla torre per la comunità: se la sentinella vede venire il pericolo e suona la tromba per avvertire il popolo, chi ascolta si salva e chi trascura ne porta la colpa; ma se la sentinella tace e non suona la tromba, il sangue dei caduti sarà richiesto alla sua mano. «Com'è vero che io vivo, dice il Signore, io non desidero la morte del malvagio, ma che si converta dalla sua via e viva!» Custodire il fratello è vocazione sacra.",Pronto
334,Antico Testamento,La Visione delle Acque che Risanano il Mar Morto,Ezechiele 47,20:00,"Ecco a voi in 2 minuti: il torrente di vita che sgorga dal santuario. Condotto all'ingresso del tempio, Ezechiele vede scaturire acque da sotto la soglia verso oriente. L'angelo misura mille cubiti e le acque gli arrivano alle caviglie; misura altri mille e gli arrivano alle ginocchia; misura ancora e gli arrivano ai fianchi, fino a diventare un torrente da attraversare a nuoto. Lungo le rive crescono alberi fruttiferi le cui foglie non appassiscono mai e le cui acque risanano persino le acque salate del mare. La grazia divina ricolma di vita ogni deserto.",Pronto
335,Antico Testamento,Daniele e i Suoi Compagni Rifiutano i Cibi del Re,Daniele 1,20:00,"Ecco a voi in 2 minuti: la sobrietà fedele che dona intelligenza limpida. Condotti alla corte di Babilonia per essere istruiti nella lingua dei caldei, Daniele, Anania, Misaele e Azaria decidono in cuor loro di non contaminarsi con le vivande raffinate e il vino della tavola reale, chiedendo solo legumi da mangiare e acqua pura da bere per dieci giorni di prova. Al termine della prova i loro volti appaiono più floridi e sani di tutti gli altri giovani. Dio dona loro sapienza e intelligenza in ogni scienza. La purezza custodisce la mente.",Pronto
336,Antico Testamento,Daniele Svela il Sogno della Statua a Nabucodonosor,Daniele 2,20:00,"Ecco a voi in 2 minuti: la pietra staccata dal monte che frantuma gli imperi. Re Nabucodonosor è turbato da un sogno che ha dimenticato e condanna a morte tutti i saggi incapaci di svelarlo. Daniele si ritira in preghiera con i compagni e il mistero gli viene rivelato di notte: una colossale statua dalla testa d'oro, petto d'argento, ventre di bronzo e gambe di ferro e argilla viene abbattuta da una pietra staccatasi dal monte senza mano d'uomo, che diventa una montagna immensa. Il regno di Dio stabilirà una pace che non tramonterà mai.",Pronto
337,Antico Testamento,La Visione del Figlio dell'Uomo e l'Antico dei Giorni,Daniele 7,20:00,"Ecco a voi in 2 minuti: il regno imperituro affidato ai giusti. Daniele contempla troni disposti nel cielo e l'Antico dei Giorni assidersi con vesti bianche come neve e capelli candidi come pura lana, su un trono di fiamme ardenti. Ed ecco avanzare sulle nubi del cielo uno simile a un Figlio dell'uomo, al quale vengono conferiti dominio, gloria e regno perenne su tutti i popoli, nazioni e lingue. Il suo dominio è eterno e non passerà mai. La storia umana approda alla signoria della giustizia e della concordia celeste.",Pronto
338,Antico Testamento,L'Arcangelo Gabriele Risponde alla Preghiera di Daniele,Daniele 9,20:00,"Ecco a voi in 2 minuti: la preghiera umile esaudita prima ancora di finire. Rivolto con suppliche, digiuno e cenere verso Gerusalemme per confessare le colpe del suo popolo, Daniele implora la misericordia di Dio sulla città desolata. Mentre sta ancora parlando e pregando, l'arcangelo Gabriele giunge con volo rapido all'ora dell'oblazione della sera, lo tocca con dolcezza e dice: «Daniele, sono venuto per darti sapienza; all'inizio delle tue suppliche è uscita una parola e io sono venuto ad annunciartela, perché tu sei grandemente amato!» L'amore divino non tarda.",Pronto
339,Antico Testamento,Il Profeta Osea e l'Amore Fedele Senza Fine,Osea 3,20:00,"Ecco a voi in 2 minuti: la misericordia instancabile che riscatta lo smarrimento. Nonostante l'infedeltà e i tradimenti, l'Eterno comanda a Osea di amare ancora la sposa allontanata e di riscattarla con denaro e orzo per riportarla a casa. È l'immagine viva dell'amore di Dio verso il suo popolo: «Ti fidanzerò a me per sempre nella giustizia, nel giudizio, nella benevolenza e nella compassione; ti fidanzerò a me nella fedeltà e tu conoscerai l'Eterno!» Nessuna lontananza può estinguere la promessa di accoglienza per chi ritorna.",Pronto
340,Antico Testamento,Lo Spirito Effuso su Ogni Carne secondo Gioele,Gioele 2,20:00,"Ecco a voi in 2 minuti: la pioggia di grazia promessa a tutte le generazioni. Dopo tempi di siccità e cavallette, il profeta Gioele annuncia la restaurazione: «Io spanderò il mio Spirito su ogni carne: i vostri figli e le vostre figlie profetizzeranno, i vostri vecchi faranno sogni e i vostri giovani avranno visioni; anche sui servi e sulle serve effonderò il mio Spirito in quei giorni!» Chiunque invocherà il nome dell'Eterno troverà salvezza. La speranza abbraccia ogni età e condizione sociale con eguale dignità.",Pronto
341,Antico Testamento,Amos e il Canto della Giustizia come Fiume Perenne,Amos 5,20:00,"Ecco a voi in 2 minuti: il richiamo forte alla coerenza morale sopra i riti vuoti. Il pastore Amos di Tecoa alza la sua voce contro le ipocrisie sociali e lo sfruttamento degli umili: «Odio, disprezzo le vostre feste solenni e non prendo piacere nelle vostre assemblee sacre! Ma scorra piuttosto il giudizio come acqua limpida e la giustizia come un torrente perenne!» Il vero culto gradito a Dio non si consuma in cerimonie esteriori, ma nella difesa concreta dei deboli e nell'onestà quotidiana del cuore.",Pronto
342,Antico Testamento,Il Profeta Michea e la Piccola Betlemme di Efrata,Michea 5,20:00,"Ecco a voi in 2 minuti: la grandezza originaria che sorge dai luoghi umili. Mentre il mondo guarda alle capitali potenti e fortificate, il profeta Michea volge lo sguardo a un piccolo villaggio sulle colline di Giuda: «E tu, Betlemme di Efrata, così piccola per essere tra i capoluoghi di Giuda, da te uscirà per me colui che sarà dominatore in Israele, le cui origini risalgono ai tempi antichi, all'eternità!» Egli pascerà il suo gregge con la forza dell'Eterno e la sua pace abbraccerà i confini del mondo.",Pronto
343,Antico Testamento,La Sintesi di Michea: Praticare la Giustizia e l'Amore,Michea 6,20:00,"Ecco a voi in 2 minuti: ciò che l'Eterno domanda all'essere umano. Dinanzi a chi si chiede con quali doni grandiosi presentarsi al cospetto dell'Altissimo, se con migliaia di montoni o fiumi d'olio, il profeta Michea risponde con limpida semplicità: «Uomo, ti è stato fatto conoscere ciò che è bene e che cosa richiede da te l'Eterno: null'altro che praticare la giustizia, amare la misericordia e camminare con umiltà davanti al tuo Dio!» La vita retta si riassume nel fare il bene con cuore umile.",Pronto
344,Antico Testamento,Il Canto di Fiducia di Abacuc sulle Alture,Abacuc 3,20:00,"Ecco a voi in 2 minuti: la gioia interiore che resiste alla carestia terrena. Nella sua preghiera poetica sul tono dei canti sacri, il profeta Abacuc esprime una fede incrollabile che non dipende dai beni materiali: «Anche se il fico non fiorirà e non ci sarà frutto sulle viti, anche se il lavoro dell'ulivo deluderà e i campi non daranno cibo, anche se le pecore scompariranno dall'ovile e non ci saranno buoi nelle stalle, io esulterò nell'Eterno e mi rallegrerò nel Dio della mia salvezza!» La gioia spirituale è invincibile.",Pronto
345,Antico Testamento,Zaccaria e le Visioni di Pace per Gerusalemme,Zaccaria 8,20:00,"Ecco a voi in 2 minuti: le piazze animate da anziani e fanciulli in festa. L'Eterno degli eserciti annuncia il ritorno sereno del suo popolo nella città amata: «Vecchi e vecchie siederanno ancora nelle piazze di Gerusalemme, ciascuno con il bastone in mano per la loro età avanzata; le piazze della città saranno piene di fanciulli e fanciulle che giocheranno nelle sue vie!» La vera gloria di una civiltà risiede nella sicurezza serena dei suoi anziani e nell'allegria spensierata dei suoi bambini.",Pronto
346,Antico Testamento,Il Messaggero dell'Alleanza e il Sole di Giustizia,Malachia 3-4,20:00,"Ecco a voi in 2 minuti: l'ultima profezia dell'Antico Testamento che annuncia l'aurora. Il profeta Malachia annuncia: «Ecco, io vi mando il mio messaggero che preparerà la via davanti a me; entrerà subito nel suo tempio il Signore che voi cercate!» Per quanti temono il suo nome sorgerà il sole di giustizia con la guarigione sotto le sue ali luminose, riconducendo il cuore dei padri verso i figli e il cuore dei figli verso i padri. L'orizzonte della storia si chiude preparando l'avvento della luce piena.",Pronto
347,Vangelo,Il Cantico di Zaccaria: «Il Sole che Sorge dall'Alto»,Luca 1,20:00,"Ecco a voi in 2 minuti: la lode riconoscente dell'anziano sacerdote. Sciolta la lingua alla circoncisione del figlio Giovanni Battista, Zaccaria è ricolmo di Spirito Santo e profetizza: «Benedetto il Signore Dio d'Israele, perché ha visitato e redento il suo popolo! Grazie alla tenera misericordia del nostro Dio, ci visiterà dall'alto un sole che sorge, per risplendere su quelli che giacciono nelle tenebre e nell'ombra di morte, e guidare i nostri passi sulla via della pace!» La luce rischiara il cammino dell'uomo.",Pronto
348,Vangelo,La Presentazione di Gesù al Tempio e il Cantico di Simeone,Luca 2,20:00,"Ecco a voi in 2 minuti: l'abbraccio dell'anziano che attende la consolazione. Mosso dallo Spirito Santo, il giusto e pio Simeone entra nel tempio proprio mentre i genitori vi portano il bambino Gesù per compiere la Legge. Lo accoglie tra le sue braccia tremanti, benedice Dio ed esclama con pace infinita: «Ora puoi lasciare, o Signore, che il tuo servo vada in pace secondo la tua parola, perché i miei occhi hanno visto la tua salvezza, preparata davanti a tutti i popoli: luce per illuminare le genti!» La promessa colma la vita.",Pronto
349,Vangelo,La Profetessa Anna Rende Lode nel Tempio,Luca 2,20:00,"Ecco a voi in 2 minuti: l'attesa fedele nell'orazione incessante. Al tempio è presente anche la profetessa Anna, figlia di Fanuele, rimasta vedova fino all'età di ottantaquattro anni senza mai allontanarsi dal luogo sacro, servendo Dio notte e giorno con digiuni e preghiere. Sopraggiunta in quel medesimo momento, comincia a lodare Dio e a parlare del bambino a quanti aspettano la redenzione di Gerusalemme. La costanza nella preghiera dona occhi capaci di riconoscere il passaggio della grazia.",Pronto
